observation_date,CPILFESL,Percent Change,
1957-01-01,28.500,N/A ,
1957-02-01,28.600,0.003508772,
1957-03-01,28.700,0.003496503,
1957-04-01,28.800,0.003484321,
1957-05-01,28.800,0,
1957-06-01,28.900,0.003472222,
1957-07-01,29.000,0.003460208,
1957-08-01,29.000,0,
1957-09-01,29.100,0.003448276,
1957-10-01,29.200,0.003436426,
1957-11-01,29.300,0.003424658,
1957-12-01,29.300,0,
1958-01-01,29.300,0,
1958-02-01,29.400,0.003412969,
1958-03-01,29.500,0.003401361,
1958-04-01,29.500,0,
1958-05-01,29.500,0,
1958-06-01,29.600,0.003389831,
1958-07-01,29.600,0,
1958-08-01,29.600,0,
1958-09-01,29.700,0.003378378,
1958-10-01,29.700,0,
1958-11-01,29.800,0.003367003,
1958-12-01,29.900,0.003355705,
1959-01-01,29.900,0,
1959-02-01,29.900,0,
1959-03-01,30.000,0.003344482,
1959-04-01,30.000,0,
1959-05-01,30.100,0.003333333,
1959-06-01,30.200,0.003322259,
1959-07-01,30.200,0,
1959-08-01,30.200,0,
1959-09-01,30.300,0.003311258,
1959-10-01,30.400,0.00330033,
1959-11-01,30.400,0,
1959-12-01,30.500,0.003289474,
1960-01-01,30.500,0,
1960-02-01,30.600,0.003278689,
1960-03-01,30.600,0,
1960-04-01,30.600,0,
1960-05-01,30.600,0,
1960-06-01,30.700,0.003267974,
1960-07-01,30.600,-0.003257329,
1960-08-01,30.600,0,
1960-09-01,30.600,0,
1960-10-01,30.800,0.006535948,
1960-11-01,30.800,0,
1960-12-01,30.700,-0.003246753,
1961-01-01,30.800,0.003257329,
1961-02-01,30.800,0,
1961-03-01,30.900,0.003246753,
1961-04-01,30.900,0,
1961-05-01,30.900,0,
1961-06-01,31.000,0.003236246,
1961-07-01,31.000,0,
1961-08-01,31.100,0.003225806,
1961-09-01,31.100,0,
1961-10-01,31.100,0,
1961-11-01,31.200,0.003215434,
1961-12-01,31.200,0,
1962-01-01,31.200,0,
1962-02-01,31.200,0,
1962-03-01,31.300,0.003205128,
1962-04-01,31.300,0,
1962-05-01,31.400,0.003194888,
1962-06-01,31.400,0,
1962-07-01,31.400,0,
1962-08-01,31.500,0.003184713,
1962-09-01,31.500,0,
1962-10-01,31.500,0,
1962-11-01,31.500,0,
1962-12-01,31.600,0.003174603,
1963-01-01,31.500,-0.003164557,
1963-02-01,31.600,0.003174603,
1963-03-01,31.700,0.003164557,
1963-04-01,31.700,0,
1963-05-01,31.700,0,
1963-06-01,31.800,0.003154574,
1963-07-01,31.800,0,
1963-08-01,31.900,0.003144654,
1963-09-01,31.900,0,
1963-10-01,32.000,0.003134796,
1963-11-01,32.000,0,
1963-12-01,32.100,0.003125,
1964-01-01,32.200,0.003115265,
1964-02-01,32.200,0,
1964-03-01,32.200,0,
1964-04-01,32.200,0,
1964-05-01,32.200,0,
1964-06-01,32.300,0.00310559,
1964-07-01,32.300,0,
1964-08-01,32.300,0,
1964-09-01,32.300,0,
1964-10-01,32.400,0.003095975,
1964-11-01,32.500,0.00308642,
1964-12-01,32.500,0,
1965-01-01,32.600,0.003076923,
1965-02-01,32.600,0,
1965-03-01,32.600,0,
1965-04-01,32.700,0.003067485,
1965-05-01,32.700,0,
1965-06-01,32.700,0,
1965-07-01,32.700,0,
1965-08-01,32.700,0,
1965-09-01,32.800,0.003058104,
1965-10-01,32.800,0,
1965-11-01,32.900,0.00304878,
1965-12-01,33.000,0.003039514,
1966-01-01,33.000,0,
1966-02-01,33.100,0.003030303,
1966-03-01,33.100,0,
1966-04-01,33.300,0.006042296,
1966-05-01,33.400,0.003003003,
1966-06-01,33.500,0.002994012,
1966-07-01,33.600,0.002985075,
1966-08-01,33.700,0.00297619,
1966-09-01,33.800,0.002967359,
1966-10-01,34.000,0.00591716,
1966-11-01,34.000,0,
1966-12-01,34.100,0.002941176,
1967-01-01,34.200,0.002932551,
1967-02-01,34.200,0,
1967-03-01,34.300,0.002923977,
1967-04-01,34.400,0.002915452,
1967-05-01,34.500,0.002906977,
1967-06-01,34.600,0.002898551,
1967-07-01,34.700,0.002890173,
1967-08-01,34.900,0.005763689,
1967-09-01,35.000,0.00286533,
1967-10-01,35.100,0.002857143,
1967-11-01,35.200,0.002849003,
1967-12-01,35.400,0.005681818,
1968-01-01,35.500,0.002824859,
1968-02-01,35.700,0.005633803,
1968-03-01,35.800,0.00280112,
1968-04-01,35.900,0.002793296,
1968-05-01,36.000,0.002785515,
1968-06-01,36.200,0.005555556,
1968-07-01,36.400,0.005524862,
1968-08-01,36.500,0.002747253,
1968-09-01,36.700,0.005479452,
1968-10-01,36.900,0.005449591,
1968-11-01,37.100,0.005420054,
1968-12-01,37.200,0.002695418,
1969-01-01,37.300,0.002688172,
1969-02-01,37.600,0.008042895,
1969-03-01,37.800,0.005319149,
1969-04-01,38.100,0.007936508,
1969-05-01,38.100,0,
1969-06-01,38.300,0.005249344,
1969-07-01,38.500,0.005221932,
1969-08-01,38.700,0.005194805,
1969-09-01,38.900,0.005167959,
1969-10-01,39.100,0.005141388,
1969-11-01,39.200,0.002557545,
1969-12-01,39.400,0.005102041,
1970-01-01,39.600,0.005076142,
1970-02-01,39.800,0.005050505,
1970-03-01,40.100,0.007537688,
1970-04-01,40.400,0.007481297,
1970-05-01,40.500,0.002475248,
1970-06-01,40.800,0.007407407,
1970-07-01,40.900,0.00245098,
1970-08-01,41.100,0.004889976,
